"","follower_count","following_count","account_language","tweet_client_name","is_retweet","reply_count","like_count","retweet_count","numcaracter","account_creation_year","account_creation_month","tweet_hour"
"9249",1538,93,1,11,2,0,0,0,98,2013,6,14
"9250",21,24,4,2,2,0,0,0,51,2014,12,14
"9251",8685,1451,1,4,2,0,0,0,142,2015,1,18
"9252",3051,271,1,2,2,0,0,0,142,2017,12,17
"9253",3051,271,1,2,2,0,0,0,141,2017,12,7
"9254",7566,4526,1,4,1,7,53,89,215,2017,3,17
"9255",8685,1451,1,4,2,0,0,0,145,2015,1,19
"9256",8685,1451,1,4,2,0,0,0,101,2015,1,19
"9257",8685,1451,1,4,2,0,0,0,61,2015,1,9
"9258",5340,117,1,1,1,0,0,0,72,2015,3,23
"9259",3739,4633,1,4,2,0,0,0,177,2017,4,5
"9260",8685,1451,1,4,2,0,0,0,139,2015,1,18
"9261",3051,271,1,2,2,0,0,0,142,2017,12,3
"9262",8685,1451,1,4,2,0,0,0,142,2015,1,9
"9263",8685,1451,1,4,2,0,0,0,82,2015,1,19
"9264",8685,1451,1,4,2,0,0,0,105,2015,1,3
"9265",100,121,1,1,1,0,0,0,25,2013,9,11
"9266",8685,1451,1,4,2,0,0,0,128,2015,1,22
"9267",8685,1451,1,4,2,0,0,0,93,2015,1,17
"9268",3051,271,1,2,2,0,0,0,141,2017,12,0
"9269",8685,1451,1,4,2,0,0,0,142,2015,1,19
"9270",7566,4526,1,4,1,0,2,2,25,2017,3,4
"9271",8685,1451,1,4,2,0,0,0,146,2015,1,10
"9272",7566,4526,1,4,2,0,0,0,177,2017,3,23
"9273",3051,271,1,2,1,0,0,0,76,2017,12,7
"9274",3020,2518,1,4,2,0,0,0,142,2017,6,7
"9275",7566,4526,1,4,2,0,0,0,162,2017,3,0
"9276",8685,1451,1,4,2,0,0,0,142,2015,1,7
"9277",3051,271,1,2,2,0,0,0,142,2017,12,17
"9278",1538,93,1,9,2,0,0,0,146,2013,6,21
"9279",81,134,1,1,1,0,0,0,42,2015,3,13
"9280",3051,271,1,2,2,0,0,0,128,2017,12,16
"9281",105,95,1,13,2,0,0,0,109,2015,3,21
"9282",8685,1451,1,4,2,0,0,0,142,2015,1,0
"9283",8685,1451,1,4,2,0,0,0,114,2015,1,0
"9284",3051,271,1,2,1,0,0,0,38,2017,12,16
"9285",3051,271,1,2,1,0,0,0,31,2017,12,17
"9286",3051,271,1,2,1,0,0,0,35,2017,12,6
"9287",4989,4418,1,4,2,0,0,0,175,2015,8,20
"9288",106,90,1,1,1,0,0,0,59,2013,8,3
"9289",3051,271,1,1,1,0,1,1,121,2017,12,6
"9290",4989,4418,1,4,2,0,0,0,142,2015,8,3
"9291",8685,1451,1,4,2,0,0,0,142,2015,1,8
"9292",8685,1451,1,4,2,0,0,0,115,2015,1,18
